Million_Plus_Cities,Age_band_of_driver,Accident_severity,Cause_of_accident,Vehicle Type Involved,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Latitude,Longitude,Time_Block
Jaipur,18-30,Low Risk,Moving Backward,Cycle,Clear,Highways,Normal,Daylight,26.9124,75.7873,Night
Agra,31-50,Medium Risk,Overtaking,Car,Hazy,Urban Road,Dry,Dusk,27.1767,78.0081,Night
Agra,18-30,Medium Risk,Changing lane to the left,Pedestrian,Foggy,National Highway,Under Construction,Dawn,27.1767,78.0081,Morning
Agra,18-30,Medium Risk,Changing lane to the right,Bus,Clear,Highways,Normal,Daylight,27.1767,78.0081,Night
Agra,18-30,Medium Risk,Overtaking,Cycle,Foggy,Urban Road,Wet,Dusk,27.1767,78.0081,Morning
Agra,31-50,Medium Risk,Overloading,Truck,Stormy,Village Road,Dry,Daylight,27.1767,78.0081,Morning
Agra,50+,Medium Risk,Other,Two-Wheeler,Foggy,Urban Road,Under Construction,Dusk,27.1767,78.0081,Evening
Agra,18-30,Medium Risk,No priority to vehicle,Truck,Clear,State Highway,Damaged,Dark,27.1767,78.0081,Morning
Agra,50+,Low Risk,Changing lane to the right,Truck,Clear,Highways,Normal,Dawn,27.1767,78.0081,Morning
Agra,18-30,Medium Risk,Moving Backward,Car,Foggy,State Highway,Under Construction,Daylight,27.1767,78.0081,Night
Agra,18-30,Low Risk,Changing lane to the left,Pedestrian,Clear,Highways,Normal,Dusk,27.1767,78.0081,Night
Agra,31-50,Medium Risk,No priority to pedestrian,Bus,Clear,National Highway,Wet,Dusk,27.1767,78.0081,Afternoon
Agra,18-30,Medium Risk,No distancing,Cycle,Hazy,Highways,Normal,Daylight,27.1767,78.0081,Night
Agra,31-50,Medium Risk,No priority to vehicle,Car,Clear,State Highway,Wet,Dusk,27.1767,78.0081,Morning
Mumbai,31-50,Medium Risk,No distancing,Bus,Foggy,Highways,Normal,Daylight,19.076,72.8777,Evening
Agra,18-30,Medium Risk,No distancing,Cycle,Clear,State Highway,Under Construction,Dusk,27.1767,78.0081,Afternoon
Agra,18-30,Medium Risk,Moving Backward,Cycle,Rainy,Village Road,Damaged,Daylight,27.1767,78.0081,Afternoon
Mallapuram,18-30,Low Risk,Changing lane to the right,Car,Clear,Highways,Normal,Dark,20.5937,78.9629,Evening
Agra,18-30,Medium Risk,No priority to pedestrian,Auto-Rickshaw,Rainy,National Highway,Under Construction,Dawn,27.1767,78.0081,Morning
Thrissur,18-30,Low Risk,Moving Backward,Car,Foggy,Highways,Normal,Daylight,20.5937,78.9629,Morning
Agra,18-30,Medium Risk,Getting off the vehicle improperly,Two-Wheeler,Clear,Highways,Normal,Daylight,27.1767,78.0081,Morning
Agra,18-30,Medium Risk,Overtaking,Car,Hazy,Urban Road,Dry,Dusk,27.1767,78.0081,Night
Agra,50+,Medium Risk,Overloading,Two-Wheeler,Clear,National Highway,Wet,Daylight,27.1767,78.0081,Evening
Agra,50+,Low Risk,Changing lane to the right,Cycle,Clear,Highways,Normal,Daylight,27.1767,78.0081,Afternoon
Agra,18-30,Medium Risk,Improper parking,Two-Wheeler,Foggy,Urban Road,Damaged,Dawn,27.1767,78.0081,Night
Agra,18-30,Medium Risk,Other,Auto-Rickshaw,Stormy,National Highway,Wet,Daylight,27.1767,78.0081,Morning
Agra,18-30,Medium Risk,Changing lane to the left,Pedestrian,Clear,State Highway,Under Construction,Daylight,27.1767,78.0081,Afternoon
Agra,50+,Medium Risk,Changing lane to the right,Car,Stormy,National Highway,Damaged,Dusk,27.1767,78.0081,Night
Agra,50+,Medium Risk,No priority to pedestrian,Car,Clear,Village Road,Wet,Daylight,27.1767,78.0081,Afternoon
Agra,50+,Low Risk,Overspeed,Two-Wheeler,Hazy,Highways,Normal,Dusk,27.1767,78.0081,Morning
Ahmedabad,18-30,Medium Risk,Changing lane to the left,Car,Stormy,Highways,Normal,Daylight,23.0225,72.5714,Afternoon
Raipur,18-30,Low Risk,No priority to vehicle,Bus,Clear,Highways,Normal,Dark,20.5937,78.9629,Morning
Ahmedabad,18-30,Medium Risk,Changing lane to the right,Bus,Clear,Highways,Normal,Dawn,23.0225,72.5714,Night
Kolkata,31-50,Medium Risk,No distancing,Auto-Rickshaw,Clear,Highways,Normal,Daylight,22.5726,88.3639,Afternoon
Ahmedabad,18-30,Medium Risk,No priority to pedestrian,Pedestrian,Stormy,National Highway,Dry,Dawn,23.0225,72.5714,Evening
Kolkata,18-30,Low Risk,No distancing,Cycle,Clear,Highways,Normal,Dark,22.5726,88.3639,Morning
Ahmedabad,18-30,Medium Risk,No priority to vehicle,Car,Clear,Highways,Normal,Dawn,23.0225,72.5714,Afternoon
